in s,C1 in V
-1.12800E-07,-1.70452E-02
-1.12400E-07,-1.43498E-02
-1.12000E-07,-3.56859E-03
-1.11600E-07,1.82203E-03
-1.11200E-07,-3.56859E-03
-1.10800E-07,-1.43498E-02
-1.10400E-07,-1.97405E-02
-1.10000E-07,-8.95922E-03
-1.09600E-07,4.51734E-03
-1.09200E-07,7.21266E-03
-1.08800E-07,-8.73281E-04
-1.08400E-07,-1.16545E-02
-1.08000E-07,-1.16545E-02
-1.07600E-07,-6.26391E-03
-1.07200E-07,-6.26391E-03
-1.06800E-07,-8.95922E-03
-1.06400E-07,-3.56859E-03
-1.06000E-07,9.90797E-03
-1.05600E-07,1.26033E-02
-1.05200E-07,-8.73281E-04
-1.04800E-07,-1.70452E-02
-1.04400E-07,-1.70452E-02
-1.04000E-07,-3.56859E-03
-1.03600E-07,4.51734E-03
-1.03200E-07,-8.73281E-04
-1.02800E-07,-8.95922E-03
-1.02400E-07,-8.95922E-03
-1.02000E-07,-6.26391E-03
-1.01600E-07,-3.56859E-03
-1.01200E-07,-3.56859E-03
-1.00800E-07,-3.56859E-03
-1.00400E-07,-8.73281E-04
-1.00000E-07,1.82203E-03
-9.96000E-08,4.51734E-03
-9.92000E-08,-8.73281E-04
-9.88000E-08,-8.95922E-03
-9.84000E-08,-1.16545E-02
-9.80000E-08,-8.73281E-04
-9.76000E-08,1.26033E-02
-9.72000E-08,1.79939E-02
-9.68000E-08,9.90797E-03
-9.64000E-08,1.82203E-03
-9.60000E-08,-3.56859E-03
-9.56000E-08,-3.56859E-03
-9.52000E-08,-8.73281E-04
-9.48000E-08,-8.73281E-04
-9.44000E-08,-3.56859E-03
-9.40000E-08,-6.26391E-03
-9.36000E-08,-8.95922E-03
-9.32000E-08,-1.16545E-02
-9.28000E-08,-1.16545E-02
-9.24000E-08,-1.16545E-02
-9.20000E-08,-6.26391E-03
-9.16000E-08,-3.56859E-03
-9.12000E-08,-6.26391E-03
-9.08000E-08,-1.16545E-02
-9.04000E-08,-1.16545E-02
-9.00000E-08,-8.73281E-04
-8.96000E-08,9.90797E-03
-8.92000E-08,7.21266E-03
-8.88000E-08,-3.56859E-03
-8.84000E-08,-8.95922E-03
-8.80000E-08,-6.26391E-03
-8.76000E-08,-8.73281E-04
-8.72000E-08,-8.73281E-04
-8.68000E-08,-3.56859E-03
-8.64000E-08,-8.73281E-04
-8.60000E-08,1.82203E-03
-8.56000E-08,1.82203E-03
-8.52000E-08,-8.73281E-04
-8.48000E-08,-3.56859E-03
-8.44000E-08,-8.73281E-04
-8.40000E-08,1.82203E-03
-8.36000E-08,4.51734E-03
-8.32000E-08,7.21266E-03
-8.28000E-08,9.90797E-03
-8.24000E-08,7.21266E-03
-8.20000E-08,-8.73281E-04
-8.16000E-08,-6.26391E-03
-8.12000E-08,-6.26391E-03
-8.08000E-08,-8.73281E-04
-8.04000E-08,1.82203E-03
-8.00000E-08,1.82203E-03
-7.96000E-08,1.82203E-03
-7.92000E-08,1.82203E-03
-7.88000E-08,-3.56859E-03
-7.84000E-08,-8.95922E-03
-7.80000E-08,-6.26391E-03
-7.76000E-08,1.82203E-03
-7.72000E-08,7.21266E-03
-7.68000E-08,1.82203E-03
-7.64000E-08,-8.95922E-03
-7.60000E-08,-1.16545E-02
-7.56000E-08,-8.95922E-03
-7.52000E-08,-1.16545E-02
-7.48000E-08,-1.70452E-02
-7.44000E-08,-1.43498E-02
-7.40000E-08,-3.56859E-03
-7.36000E-08,-8.73281E-04
-7.32000E-08,-8.95922E-03
-7.28000E-08,-1.70452E-02
-7.24000E-08,-1.43498E-02
-7.20000E-08,-3.56859E-03
-7.16000E-08,-8.73281E-04
-7.12000E-08,-8.73281E-04
-7.08000E-08,-8.73281E-04
-7.04000E-08,-8.73281E-04
-7.00000E-08,-3.56859E-03
-6.96000E-08,-3.56859E-03
-6.92000E-08,1.82203E-03
-6.88000E-08,4.51734E-03
-6.84000E-08,1.82203E-03
-6.80000E-08,1.82203E-03
-6.76000E-08,1.82203E-03
-6.72000E-08,-8.73281E-04
-6.68000E-08,-1.16545E-02
-6.64000E-08,-1.70452E-02
-6.60000E-08,-8.95922E-03
-6.56000E-08,-8.73281E-04
-6.52000E-08,-3.56859E-03
-6.48000E-08,-1.16545E-02
-6.44000E-08,-1.16545E-02
-6.40000E-08,-8.73281E-04
-6.36000E-08,7.21266E-03
-6.32000E-08,7.21266E-03
-6.28000E-08,4.51734E-03
-6.24000E-08,-8.73281E-04
-6.20000E-08,-6.26391E-03
-6.16000E-08,-6.26391E-03
-6.12000E-08,-8.73281E-04
-6.08000E-08,4.51734E-03
-6.04000E-08,1.82203E-03
-6.00000E-08,-3.56859E-03
-5.96000E-08,-8.73281E-04
-5.92000E-08,1.82203E-03
-5.88000E-08,1.82203E-03
-5.84000E-08,-8.73281E-04
-5.80000E-08,-8.73281E-04
-5.76000E-08,1.82203E-03
-5.72000E-08,-8.73281E-04
-5.68000E-08,-3.56859E-03
-5.64000E-08,-3.56859E-03
-5.60000E-08,-8.73281E-04
-5.56000E-08,4.51734E-03
-5.52000E-08,4.51734E-03
-5.48000E-08,-8.73281E-04
-5.44000E-08,-1.16545E-02
-5.40000E-08,-2.24358E-02
-5.36000E-08,-2.24358E-02
-5.32000E-08,-8.95922E-03
-5.28000E-08,1.82203E-03
-5.24000E-08,1.82203E-03
-5.20000E-08,-6.26391E-03
-5.16000E-08,-1.16545E-02
-5.12000E-08,-1.16545E-02
-5.08000E-08,-1.16545E-02
-5.04000E-08,-8.95922E-03
-5.00000E-08,-8.73281E-04
-4.96000E-08,7.21266E-03
-4.92000E-08,7.21266E-03
-4.88000E-08,-3.56859E-03
-4.84000E-08,-1.16545E-02
-4.80000E-08,-1.16545E-02
-4.76000E-08,-3.56859E-03
-4.72000E-08,7.21266E-03
-4.68000E-08,1.26033E-02
-4.64000E-08,1.26033E-02
-4.60000E-08,7.21266E-03
-4.56000E-08,-8.73281E-04
-4.52000E-08,-3.56859E-03
-4.48000E-08,-8.73281E-04
-4.44000E-08,7.21266E-03
-4.40000E-08,7.21266E-03
-4.36000E-08,1.82203E-03
-4.32000E-08,-6.26391E-03
-4.28000E-08,-8.95922E-03
-4.24000E-08,-8.95922E-03
-4.20000E-08,-1.16545E-02
-4.16000E-08,-1.16545E-02
-4.12000E-08,-8.95922E-03
-4.08000E-08,-8.95922E-03
-4.04000E-08,-1.16545E-02
-4.00000E-08,-8.95922E-03
