in s,C1 in V
-1.96000E-08,-5.16357E-01
-1.92000E-08,-5.13916E-01
-1.88000E-08,-5.11475E-01
-1.84000E-08,-5.11475E-01
-1.80000E-08,-5.06592E-01
-1.76000E-08,-5.04150E-01
-1.72000E-08,-5.06592E-01
-1.68000E-08,-5.13916E-01
-1.64000E-08,-5.18799E-01
-1.60000E-08,-5.16357E-01
-1.56000E-08,-5.13916E-01
-1.52000E-08,-5.11475E-01
-1.48000E-08,-5.11475E-01
-1.44000E-08,-5.09033E-01
-1.40000E-08,-5.06592E-01
-1.36000E-08,-5.04150E-01
-1.32000E-08,-5.06592E-01
-1.28000E-08,-5.11475E-01
-1.24000E-08,-5.13916E-01
-1.20000E-08,-5.11475E-01
-1.16000E-08,-5.06592E-01
-1.12000E-08,-5.06592E-01
-1.08000E-08,-5.09033E-01
-1.04000E-08,-5.06592E-01
-1.00000E-08,-5.01709E-01
-9.60000E-09,-4.96826E-01
-9.20000E-09,-4.99268E-01
-8.80000E-09,-4.96826E-01
-8.40000E-09,-4.87061E-01
-8.00000E-09,-4.74854E-01
-7.60000E-09,-4.65088E-01
-7.20000E-09,-4.55322E-01
-6.80000E-09,-4.40674E-01
-6.40000E-09,-4.28467E-01
-6.00000E-09,-4.16260E-01
-5.60000E-09,-3.99170E-01
-5.20000E-09,-3.72314E-01
-4.80000E-09,-3.50342E-01
-4.40000E-09,-3.38135E-01
-4.00000E-09,-3.21045E-01
-3.60000E-09,-2.94189E-01
-3.20000E-09,-2.60010E-01
-2.80000E-09,-2.33154E-01
-2.40000E-09,-2.06299E-01
-2.00000E-09,-1.69678E-01
-1.60000E-09,-1.25732E-01
-1.20000E-09,-8.91113E-02
-8.00000E-10,-5.98145E-02
-4.00000E-10,-2.56348E-02
3.24000E-24,1.58691E-02
4.00000E-10,5.98145E-02
8.00000E-10,9.64355E-02
1.20000E-09,1.28174E-01
1.60000E-09,1.59912E-01
2.00000E-09,1.96533E-01
2.40000E-09,2.30713E-01
2.80000E-09,2.60010E-01
3.20000E-09,2.89307E-01
3.60000E-09,3.23486E-01
4.00000E-09,3.57666E-01
4.40000E-09,3.86963E-01
4.80000E-09,4.01611E-01
5.20000E-09,4.13818E-01
5.60000E-09,4.33350E-01
6.00000E-09,4.60205E-01
6.40000E-09,4.82178E-01
6.80000E-09,4.91943E-01
7.20000E-09,4.96826E-01
7.60000E-09,5.06592E-01
8.00000E-09,5.16357E-01
8.40000E-09,5.23682E-01
8.80000E-09,5.31006E-01
9.20000E-09,5.45654E-01
9.60000E-09,5.52979E-01
1.00000E-08,5.50537E-01
1.04000E-08,5.50537E-01
1.08000E-08,5.60303E-01
1.12000E-08,5.67627E-01
1.16000E-08,5.67627E-01
1.20000E-08,5.65186E-01
1.24000E-08,5.70068E-01
1.28000E-08,5.77393E-01
1.32000E-08,5.74951E-01
1.36000E-08,5.67627E-01
1.40000E-08,5.70068E-01
1.44000E-08,5.77393E-01
1.48000E-08,5.82275E-01
1.52000E-08,5.79834E-01
1.56000E-08,5.77393E-01
1.60000E-08,5.77393E-01
1.64000E-08,5.79834E-01
1.68000E-08,5.82275E-01
1.72000E-08,5.84717E-01
1.76000E-08,5.87158E-01
1.80000E-08,5.87158E-01
1.84000E-08,5.84717E-01
1.88000E-08,5.84717E-01
1.92000E-08,5.84717E-01
1.96000E-08,5.84717E-01
2.00000E-08,5.82275E-01
2.04000E-08,5.79834E-01
2.08000E-08,5.82275E-01
2.12000E-08,5.87158E-01
2.16000E-08,5.92041E-01
2.20000E-08,5.92041E-01
2.24000E-08,5.92041E-01
2.28000E-08,5.92041E-01
2.32000E-08,5.96924E-01
2.36000E-08,5.96924E-01
2.40000E-08,5.92041E-01
2.44000E-08,5.87158E-01
2.48000E-08,5.92041E-01
2.52000E-08,6.06689E-01
2.56000E-08,6.14014E-01
2.60000E-08,6.11572E-01
2.64000E-08,6.06689E-01
2.68000E-08,6.09131E-01
2.72000E-08,6.14014E-01
2.76000E-08,6.14014E-01
2.80000E-08,6.16455E-01
2.84000E-08,6.23779E-01
2.88000E-08,6.23779E-01
2.92000E-08,6.14014E-01
2.96000E-08,6.01807E-01
3.00000E-08,5.99365E-01
3.04000E-08,5.99365E-01
3.08000E-08,5.96924E-01
3.12000E-08,5.89600E-01
3.16000E-08,5.87158E-01
3.20000E-08,5.82275E-01
3.24000E-08,5.72510E-01
3.28000E-08,5.57861E-01
3.32000E-08,5.45654E-01
3.36000E-08,5.35889E-01
3.40000E-08,5.26123E-01
3.44000E-08,5.13916E-01
3.48000E-08,4.99268E-01
3.52000E-08,4.79736E-01
3.56000E-08,4.52881E-01
3.60000E-08,4.28467E-01
3.64000E-08,4.06494E-01
3.68000E-08,3.79639E-01
3.72000E-08,3.45459E-01
3.76000E-08,3.13721E-01
3.80000E-08,2.89307E-01
3.84000E-08,2.60010E-01
3.88000E-08,2.20947E-01
3.92000E-08,1.74561E-01
3.96000E-08,1.33057E-01
4.00000E-08,9.88770E-02
4.04000E-08,6.22559E-02
4.08000E-08,2.56348E-02
4.12000E-08,-1.09863E-02
4.16000E-08,-4.51660E-02
4.20000E-08,-7.93457E-02
4.24000E-08,-1.11084E-01
4.28000E-08,-1.42822E-01
4.32000E-08,-1.77002E-01
