in s,C1 in V
6.800E-09,-1.67891E-02
7.200E-09,-7.02344E-03
7.600E-09,-1.48359E-02
8.000E-09,-1.48359E-02
8.400E-09,-1.87422E-02
8.800E-09,-1.28828E-02
9.200E-09,-1.48359E-02
9.600E-09,-1.09297E-02
1.000E-08,-1.09297E-02
1.040E-08,-1.16406E-03
1.080E-08,-7.02344E-03
1.120E-08,-3.11719E-03
1.160E-08,6.64844E-03
1.200E-08,-1.16406E-03
1.240E-08,7.89062E-04
1.280E-08,2.74219E-03
1.320E-08,7.89062E-04
1.360E-08,7.89062E-04
1.400E-08,8.60156E-03
1.440E-08,8.60156E-03
1.480E-08,6.64844E-03
1.520E-08,6.64844E-03
1.560E-08,2.74219E-03
1.600E-08,6.64844E-03
1.640E-08,-3.11719E-03
1.680E-08,4.69531E-03
1.720E-08,4.69531E-03
1.760E-08,1.64141E-02
1.800E-08,1.25078E-02
1.840E-08,-1.16406E-03
1.880E-08,7.89062E-04
1.920E-08,7.89062E-04
1.960E-08,-1.16406E-03
2.000E-08,2.74219E-03
2.040E-08,2.74219E-03
2.080E-08,2.74219E-03
2.120E-08,6.64844E-03
2.160E-08,4.69531E-03
2.200E-08,2.74219E-03
2.240E-08,6.64844E-03
2.280E-08,1.25078E-02
2.320E-08,1.44609E-02
2.360E-08,1.83672E-02
2.400E-08,1.83672E-02
2.440E-08,1.64141E-02
2.480E-08,1.44609E-02
2.520E-08,1.64141E-02
2.560E-08,1.44609E-02
2.600E-08,2.74219E-03
2.640E-08,1.25078E-02
2.680E-08,1.83672E-02
2.720E-08,8.60156E-03
2.760E-08,1.44609E-02
2.800E-08,1.64141E-02
2.840E-08,8.60156E-03
2.880E-08,1.25078E-02
2.920E-08,1.25078E-02
2.960E-08,1.25078E-02
3.000E-08,1.05547E-02
3.040E-08,8.60156E-03
3.080E-08,1.64141E-02
3.120E-08,1.05547E-02
3.160E-08,4.69531E-03
3.200E-08,1.25078E-02
3.240E-08,1.64141E-02
3.280E-08,1.05547E-02
3.320E-08,1.64141E-02
3.360E-08,1.44609E-02
3.400E-08,6.64844E-03
3.440E-08,1.83672E-02
3.480E-08,8.60156E-03
3.520E-08,1.44609E-02
3.560E-08,2.61797E-02
3.600E-08,1.44609E-02
3.640E-08,1.44609E-02
3.680E-08,1.83672E-02
3.720E-08,2.03203E-02
3.760E-08,6.64844E-03
3.800E-08,6.64844E-03
3.840E-08,1.25078E-02
3.880E-08,1.25078E-02
3.920E-08,1.44609E-02
3.960E-08,2.74219E-03
4.000E-08,1.25078E-02
4.040E-08,1.44609E-02
4.080E-08,8.60156E-03
4.120E-08,8.60156E-03
4.160E-08,1.64141E-02
4.200E-08,1.05547E-02
4.240E-08,1.05547E-02
4.280E-08,1.64141E-02
4.320E-08,1.44609E-02
4.360E-08,8.60156E-03
4.400E-08,6.64844E-03
4.440E-08,1.05547E-02
4.480E-08,8.60156E-03
4.520E-08,1.25078E-02
4.560E-08,1.64141E-02
4.600E-08,2.22734E-02
4.640E-08,8.60156E-03
4.680E-08,1.25078E-02
4.720E-08,-1.16406E-03
4.760E-08,1.05547E-02
4.800E-08,1.05547E-02
4.840E-08,1.64141E-02
4.880E-08,1.64141E-02
4.920E-08,1.64141E-02
4.960E-08,1.44609E-02
5.000E-08,1.05547E-02
5.040E-08,8.60156E-03
5.080E-08,1.25078E-02
5.120E-08,2.22734E-02
5.160E-08,1.25078E-02
5.200E-08,1.25078E-02
5.240E-08,1.25078E-02
5.280E-08,1.25078E-02
5.320E-08,2.03203E-02
5.360E-08,2.03203E-02
5.400E-08,2.03203E-02
5.440E-08,1.44609E-02
5.480E-08,1.83672E-02
5.520E-08,1.44609E-02
5.560E-08,1.83672E-02
5.600E-08,1.83672E-02
5.640E-08,1.44609E-02
5.680E-08,1.44609E-02
5.720E-08,1.83672E-02
5.760E-08,1.44609E-02
5.800E-08,1.25078E-02
5.840E-08,8.60156E-03
5.880E-08,1.25078E-02
5.920E-08,8.60156E-03
5.960E-08,1.25078E-02
6.000E-08,1.05547E-02
6.040E-08,1.25078E-02
6.080E-08,1.44609E-02
6.120E-08,1.25078E-02
6.160E-08,1.25078E-02
6.200E-08,1.25078E-02
6.240E-08,1.05547E-02
6.280E-08,8.60156E-03
6.320E-08,8.60156E-03
6.360E-08,7.89062E-04
6.400E-08,1.25078E-02
6.440E-08,1.44609E-02
6.480E-08,1.05547E-02
6.520E-08,1.25078E-02
6.560E-08,2.03203E-02
6.600E-08,1.05547E-02
6.640E-08,1.64141E-02
6.680E-08,2.42266E-02
6.720E-08,1.83672E-02
6.760E-08,1.25078E-02
6.800E-08,2.03203E-02
6.840E-08,6.64844E-03
6.880E-08,1.25078E-02
6.920E-08,2.03203E-02
6.960E-08,8.60156E-03
7.000E-08,1.44609E-02
7.040E-08,1.44609E-02
7.080E-08,2.03203E-02
7.120E-08,1.44609E-02
7.160E-08,1.44609E-02
7.200E-08,1.64141E-02
7.240E-08,1.44609E-02
7.280E-08,6.64844E-03
7.320E-08,1.83672E-02
7.360E-08,6.64844E-03
7.400E-08,1.44609E-02
7.440E-08,1.44609E-02
7.480E-08,2.03203E-02
7.520E-08,1.44609E-02
7.560E-08,1.64141E-02
7.600E-08,1.83672E-02
7.640E-08,1.83672E-02
7.680E-08,1.44609E-02
7.720E-08,2.42266E-02
7.760E-08,1.44609E-02
7.800E-08,1.25078E-02
7.840E-08,6.64844E-03
7.880E-08,2.03203E-02
7.920E-08,2.03203E-02
7.960E-08,1.83672E-02
8.000E-08,1.64141E-02
8.040E-08,1.25078E-02
8.080E-08,1.25078E-02
8.120E-08,1.64141E-02
8.160E-08,1.64141E-02
8.200E-08,1.25078E-02
8.240E-08,1.44609E-02
8.280E-08,1.05547E-02
8.320E-08,1.44609E-02
8.360E-08,1.44609E-02
8.400E-08,1.64141E-02
8.440E-08,1.83672E-02
8.480E-08,1.64141E-02
8.520E-08,1.44609E-02
8.560E-08,2.03203E-02
8.600E-08,1.83672E-02
8.640E-08,2.03203E-02
8.680E-08,2.61797E-02
8.720E-08,2.61797E-02
8.760E-08,2.81328E-02
8.800E-08,3.98516E-02
8.840E-08,3.39922E-02
8.880E-08,3.98516E-02
8.920E-08,5.93828E-02
8.960E-08,6.52422E-02
9.000E-08,6.32891E-02
9.040E-08,7.89141E-02
9.080E-08,8.08672E-02
9.120E-08,1.02352E-01
9.160E-08,1.12117E-01
9.200E-08,1.29695E-01
9.240E-08,1.39461E-01
9.280E-08,1.55086E-01
9.320E-08,1.78523E-01
9.360E-08,1.86336E-01
9.400E-08,1.96102E-01
9.440E-08,2.25398E-01
9.480E-08,2.37117E-01
9.520E-08,2.54695E-01
9.560E-08,2.76180E-01
9.600E-08,2.97664E-01
9.640E-08,3.07430E-01
9.680E-08,3.40633E-01
9.720E-08,3.48445E-01
9.760E-08,3.58211E-01
9.800E-08,3.66023E-01
9.840E-08,3.85555E-01
9.880E-08,4.05086E-01
9.920E-08,4.20711E-01
9.960E-08,4.34383E-01
1.000E-07,4.36336E-01
1.004E-07,4.48055E-01
1.008E-07,4.46102E-01
1.012E-07,4.53914E-01
1.016E-07,4.51961E-01
1.020E-07,4.50008E-01
1.024E-07,4.57820E-01
1.028E-07,4.61727E-01
1.032E-07,4.67586E-01
1.036E-07,4.73445E-01
1.040E-07,4.67586E-01
1.044E-07,4.65633E-01
1.048E-07,4.61727E-01
1.052E-07,4.63680E-01
1.056E-07,4.57820E-01
1.060E-07,4.55867E-01
1.064E-07,4.50008E-01
1.068E-07,4.59773E-01
1.072E-07,4.50008E-01
1.076E-07,4.55867E-01
1.080E-07,4.50008E-01
1.084E-07,4.48055E-01
1.088E-07,4.48055E-01
1.092E-07,4.57820E-01
